,SMILES,NAME,SOURCE_SPECIES,REFERENCE,NPC_PATHWAY_1,NPC_PATHWAY_2,NPC_PATHWAY_3,NPC_SUPERCLASS_1,NPC_SUPERCLASS_2,NPC_SUPERCLASS_3,NPC_CLASS_1,NPC_CLASS_2,NPC_CLASS_3,NPC_CLASS_4,NPC_IS_GLYCOSIDE,MOL_WT,HBA_COUNT,HBD_COUNT,ROTABLE_BONDS,CLOGP,TPSA,ACID_GROUP_COUNT,BASE_GROUP_COUNT
0,O=C(OC(C(=O)CO)C1OC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)OCC1O)c1cc(O)c(O)c(O)c1,['Gemin D'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,False,634.4550000000004,18,11,5,-0.4523000000000007,318.5,9,0
1,O=C(OC1OC(CO)C2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC1C2O)c1cc(O)c(O)c(O)c1,['Phyllanemblinin B'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,True,634.4550000000004,18,11,3,-0.2965000000000011,310.66,9,0
2,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC(C2O)C1O)c1cc(O)c(O)c(O)c1,['Corilagin'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,True,634.4550000000004,18,11,2,-0.2965000000000006,310.66,9,0
3,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1cc(O)c(O)c(O)c1)C(O)C2,"['Prodelphinidin B dimer', 'PAC B-Type (E) GC-(E)GC']","['Phyllanthus acuminatus', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26216493', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Flavonoids,,,Proanthocyanins,,,,False,610.5240000000003,14,12,3,2.406200000000002,261.22,11,0
4,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2,['(epi)galocatequina'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Flavonoids,,,Flavan-3-ols,,,,False,306.27000000000004,7,6,1,1.2517,130.61,5,0
5,O=C1OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C2=C1CC(=O)C(O)(O4)C2(O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)O3,['Geraniin'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,True,952.6480000000004,27,14,2,-0.9678000000000008,450.2500000000001,11,0
6,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC3C2OC(=O)C2(O)CC(O)C4(O)Oc5c(O)c(O)cc(c5C24)C(=O)OC13)c1cc(O)c(O)c(O)c1,['Phyllanthusiin C'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Phenolic acids (C6-C1),,,Gallotannins,,,,True,926.6540000000005,26,14,2,-0.7958000000000007,433.1800000000001,12,0
7,COc1cc2c(=O)oc3c(OC)c(OC)cc4c(=O)oc(c1O)c2c34,['O-trimethyl ellagic acid'],['Phyllanthus acuminatus'],['https://doi.org/10.3390/molecules26216493'],Shikimates and Phenylpropanoids,,,Coumarins,,,,,,,False,344.2750000000001,8,1,3,2.2218000000000004,108.34,2,0
8,COc1cc(C=CC(=O)O)ccc1O,"['Ferulic acid', 'Ferulic acid', 'Ferulic acid', 'Ferulic acid', 'ferulic acid', 'Ferulic acid', 'Ferulic acid']","['Phyllanthus acuminatus', 'Petiveria alliaceae', 'Phyllanthus niruri', 'Senna reticulata', 'Uncaria tomentosa', 'Phlebodium aureum', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26216493', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/plants6040050', 'https://doi.org/10.3390/molecules201219876', 'https://doi.org/10.1038/s41598-023-50281-3', 'https://doi.org/10.3390/molecules22010011 ']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,194.186,3,2,3,1.4986,66.76,3,0
9,COc1cc(C=CC(=O)O[C@@H]2C[C@@](OC(=O)C=Cc3ccc(O)c(O)c3)(C(=O)O)C[C@@H](O)[C@@H]2O)ccc1O,"['1-Caffeoyl-5-feruloylquinic acid', 'Caffeoly-feruloyl-quinic acid']","['Phyllanthus acuminatus', 'Psidium friedrichsthalianum']","['https://doi.org/10.3390/molecules26216493', 'https://doi.org/10.1016/j.jfca.2018.09.012']",Shikimates and Phenylpropanoids,,,Phenylpropanoids (C6-C3),,,Cinnamic acids and derivatives,,,,False,530.4820000000002,11,6,8,1.3325999999999998,200.28,5,0
